"LA","Code"
"Hartlepool","E06000001"
"Middlesbrough","E06000002"
"Redcar and Cleveland","E06000003"
"Stockton-on-Tees","E06000004"
"Darlington","E06000005"
"Halton","E06000006"
"Warrington","E06000007"
"Blackburn with Darwen","E06000008"
"Blackpool","E06000009"
"Kingston upon Hull","E06000010"
"East Riding of Yorkshire","E06000011"
"North East Lincolnshire","E06000012"
"North Lincolnshire","E06000013"
"York","E06000014"
"Derby","E06000015"
"Leicester","E06000016"
"Rutland","E06000017"
"Nottingham","E06000018"
"Herefordshire","E06000019"
"Telford and Wrekin","E06000020"
"Stoke-on-Trent","E06000021"
"Bath and North East Somerset","E06000022"
"Bristol","E06000023"
"North Somerset","E06000024"
"South Gloucestershire","E06000025"
"Plymouth","E06000026"
"Torbay","E06000027"
"Swindon","E06000030"
"Peterborough","E06000031"
"Luton","E06000032"
"Southend-on-Sea","E06000033"
"Thurrock","E06000034"
"Medway","E06000035"
"Bracknell Forest","E06000036"
"West Berkshire","E06000037"
"Reading","E06000038"
"Slough","E06000039"
"Windsor and Maidenhead","E06000040"
"Wokingham","E06000041"
"Milton Keynes","E06000042"
"Brighton and Hove","E06000043"
"Portsmouth","E06000044"
"Southampton","E06000045"
"Isle of Wight","E06000046"
"Durham","E06000047"
"Shropshire","E06000048"
"Cornwall","E06000049"
"Isles of Scilly","E06000053"
"Wiltshire","E06000054"
"Bedford","E06000055"
"Central Bedfordshire","E06000056"
"Northumberland","E06000057"
"Cheshire East","E06000058"
"Cheshire West and Chester","E06000059"
"Bournemouth, Christchurch and Poole","E06000028"
"Cumberland","E06000063"
"Westmorland and Furness","E06000064"
"Somerset","E06000066"
"Bolton","E08000001"
"Bury","E08000002"
"Manchester","E08000003"
"Oldham","E08000004"
"Rochdale","E08000005"
"Salford","E08000006"
"Stockport","E08000007"
"Tameside","E08000008"
"Trafford","E08000009"
"Wigan","E08000010"
"Knowsley","E08000011"
"Liverpool","E08000012"
"St. Helens","E08000013"
"Sefton","E08000014"
"Wirral","E08000015"
"Barnsley","E08000016"
"Doncaster","E08000017"
"Rotherham","E08000018"
"Sheffield","E08000019"
"Gateshead","E08000020"
"Newcastle upon Tyne","E08000021"
"North Tyneside","E08000022"
"South Tyneside","E08000023"
"Sunderland","E08000024"
"Birmingham","E08000025"
"Coventry","E08000026"
"Dudley","E08000027"
"Sandwell","E08000028"
"Solihull","E08000029"
"Walsall","E08000030"
"Wolverhampton","E08000031"
"Bradford","E08000032"
"Calderdale","E08000033"
"Kirklees","E08000034"
"Leeds","E08000035"
"Wakefield","E08000036"
"City of London","E09000001"
"Barking and Dagenham","E09000002"
"Barnet","E09000003"
"Bexley","E09000004"
"Brent","E09000005"
"Bromley","E09000006"
"Camden","E09000007"
"Croydon","E09000008"
"Ealing","E09000009"
"Enfield","E09000010"
"Greenwich","E09000011"
"Hackney","E09000012"
"Hammersmith and Fulham","E09000013"
"Haringey","E09000014"
"Harrow","E09000015"
"Havering","E09000016"
"Hillingdon","E09000017"
"Hounslow","E09000018"
"Islington","E09000019"
"Kensington and Chelsea","E09000020"
"Kingston upon Thames","E09000021"
"Lambeth","E09000022"
"Lewisham","E09000023"
"Merton","E09000024"
"Newham","E09000025"
"Redbridge","E09000026"
"Richmond upon Thames","E09000027"
"Southwark","E09000028"
"Sutton","E09000029"
"Tower Hamlets","E09000030"
"Waltham Forest","E09000031"
"Wandsworth","E09000032"
"Westminster","E09000033"
"Aberdeen City","S12000033"
"Aberdeenshire","S12000034"
"Angus","S12000041"
"Argyll and Bute","S12000035"
"Clackmannanshire","S12000005"
"Dumfries and Galloway","S12000006"
"Dundee City","S12000042"
"East Ayrshire","S12000008"
"East Dunbartonshire","S12000045"
"East Lothian","S12000010"
"East Renfrewshire","S12000011"
"City of Edinburgh","S12000036"
"Falkirk","S12000014"
"Fife","S12000047"
"Glasgow City","S12000046"
"Highland","S12000017"
"Inverclyde","S12000018"
"Midlothian","S12000019"
"Moray","S12000020"
"Na h-Eileanan Siar","S12000013"
"North Ayrshire","S12000021"
"North Lanarkshire","S12000044"
"Orkney Islands","S12000023"
"Perth and Kinross","S12000048"
"Renfrewshire","S12000038"
"Scottish Borders","S12000026"
"Shetland Islands","S12000027"
"South Ayrshire","S12000028"
"South Lanarkshire","S12000029"
"Stirling","S12000030"
"West Dunbartonshire","S12000039"
"West Lothian","S12000040"
"Isle of Anglesey","W06000001"
"Gwynedd","W06000002"
"Conwy","W06000003"
"Denbighshire","W06000004"
"Flintshire","W06000005"
"Wrexham","W06000006"
"Ceredigion","W06000008"
"Pembrokeshire","W06000009"
"Carmarthenshire","W06000010"
"Swansea","W06000011"
"Neath Port Talbot","W06000012"
"Bridgend","W06000013"
"Vale of Glamorgan","W06000014"
"Cardiff","W06000015"
"Rhondda Cynon Taf","W06000016"
"Caerphilly","W06000018"
"Blaenau Gwent","W06000019"
"Torfaen","W06000020"
"Monmouthshire","W06000021"
"Newport","W06000022"
"Powys","W06000023"
"Merthyr Tydfil","W06000024"
