"Area","Year","Month","Severity","Count","AreaPopulation","LengthofMotorway","LengthRuralARoad","LengthUrbanARoad","LengthRuralBRoad","LengthUrbanBRoad","LengthRuralCorURoad","LengthUrbanCorURoad","TotalRoadLength","Longitude","Latitude","AreaSize"
"Barking and Dagenham",2019,"1","1",0,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barking and Dagenham",2019,"2","1",0,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barking and Dagenham",2019,"3","1",1,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barking and Dagenham",2019,"4","1",1,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barking and Dagenham",2019,"5","1",0,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barking and Dagenham",2019,"6","1",0,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barking and Dagenham",2019,"7","1",1,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barking and Dagenham",2019,"8","1",0,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barking and Dagenham",2019,"9","1",1,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barking and Dagenham",2019,"10","1",0,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barking and Dagenham",2019,"11","1",0,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barking and Dagenham",2019,"12","1",0,218828,0,1.4,21.8,0,1.8,6.2,181.8,212.9,0.129479,51.5456,37781838.3058777
"Barnet",2019,"1","1",0,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnet",2019,"2","1",0,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnet",2019,"3","1",2,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnet",2019,"4","1",0,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnet",2019,"5","1",1,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnet",2019,"6","1",0,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnet",2019,"7","1",0,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnet",2019,"8","1",0,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnet",2019,"9","1",1,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnet",2019,"10","1",0,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnet",2019,"11","1",0,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnet",2019,"12","1",0,390590,7.5,5.5,54.9,0.8,11,4,392.3,475.9,-0.21819,51.6111,86767035.2947845
"Barnsley",2019,"1","1",1,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Barnsley",2019,"2","1",0,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Barnsley",2019,"3","1",2,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Barnsley",2019,"4","1",1,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Barnsley",2019,"5","1",0,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Barnsley",2019,"6","1",2,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Barnsley",2019,"7","1",0,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Barnsley",2019,"8","1",1,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Barnsley",2019,"9","1",0,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Barnsley",2019,"10","1",2,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Barnsley",2019,"11","1",1,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Barnsley",2019,"12","1",0,243558,10.7,54.9,26.9,19.7,26.2,201.6,391.8,745.5,-1.54925,53.5258,329089689.611206
"Bath and North East Somerset",2019,"1","1",0,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bath and North East Somerset",2019,"2","1",0,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bath and North East Somerset",2019,"3","1",0,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bath and North East Somerset",2019,"4","1",0,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bath and North East Somerset",2019,"5","1",0,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bath and North East Somerset",2019,"6","1",0,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bath and North East Somerset",2019,"7","1",1,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bath and North East Somerset",2019,"8","1",0,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bath and North East Somerset",2019,"9","1",0,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bath and North East Somerset",2019,"10","1",0,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bath and North East Somerset",2019,"11","1",0,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bath and North East Somerset",2019,"12","1",1,190176,0,49,23.9,22.6,6.7,332.9,233.2,678.8,-2.48657,51.356,351154096.565308
"Bedford",2019,"1","1",1,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bedford",2019,"2","1",0,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bedford",2019,"3","1",0,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bedford",2019,"4","1",0,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bedford",2019,"5","1",0,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bedford",2019,"6","1",1,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bedford",2019,"7","1",0,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bedford",2019,"8","1",0,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bedford",2019,"9","1",0,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bedford",2019,"10","1",1,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bedford",2019,"11","1",1,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bedford",2019,"12","1",0,180651,0,39,14.8,14,4.4,345.7,170.8,607.7,-0.45463,52.1963,476416597.906769
"Bexley",2019,"1","1",0,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Bexley",2019,"2","1",0,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Bexley",2019,"3","1",0,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Bexley",2019,"4","1",0,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Bexley",2019,"5","1",0,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Bexley",2019,"6","1",0,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Bexley",2019,"7","1",1,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Bexley",2019,"8","1",1,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Bexley",2019,"9","1",0,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Bexley",2019,"10","1",1,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Bexley",2019,"11","1",0,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Bexley",2019,"12","1",0,246622,0,5.7,37.4,1,6.7,6.4,284.8,342,0.146212,51.4582,64309526.6340027
"Birmingham",2019,"1","1",5,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Birmingham",2019,"2","1",1,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Birmingham",2019,"3","1",0,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Birmingham",2019,"4","1",1,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Birmingham",2019,"5","1",2,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Birmingham",2019,"6","1",0,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Birmingham",2019,"7","1",0,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Birmingham",2019,"8","1",3,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Birmingham",2019,"9","1",0,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Birmingham",2019,"10","1",1,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Birmingham",2019,"11","1",0,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Birmingham",2019,"12","1",1,1150646,16,7.1,119.1,1.7,78.9,30.5,1348.3,1601.6,-1.88141,52.484,267779430.727539
"Blackburn with Darwen",2019,"1","1",1,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackburn with Darwen",2019,"2","1",0,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackburn with Darwen",2019,"3","1",1,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackburn with Darwen",2019,"4","1",0,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackburn with Darwen",2019,"5","1",0,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackburn with Darwen",2019,"6","1",0,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackburn with Darwen",2019,"7","1",1,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackburn with Darwen",2019,"8","1",0,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackburn with Darwen",2019,"9","1",0,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackburn with Darwen",2019,"10","1",1,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackburn with Darwen",2019,"11","1",0,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackburn with Darwen",2019,"12","1",0,154066,5,10.4,24.2,4.4,7.3,55.6,222.8,329.7,-2.46361,53.7008,137017280.812851
"Blackpool",2019,"1","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blackpool",2019,"2","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blackpool",2019,"3","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blackpool",2019,"4","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blackpool",2019,"5","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blackpool",2019,"6","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blackpool",2019,"7","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blackpool",2019,"8","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blackpool",2019,"9","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blackpool",2019,"10","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blackpool",2019,"11","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blackpool",2019,"12","1",0,142407,0.2,1.7,24.2,0,12.9,4.4,234.3,277.7,-3.02202,53.8216,43069802.6594543
"Blaenau Gwent",2019,"1","1",0,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
"Blaenau Gwent",2019,"2","1",0,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
"Blaenau Gwent",2019,"3","1",0,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
"Blaenau Gwent",2019,"4","1",0,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
"Blaenau Gwent",2019,"5","1",0,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
"Blaenau Gwent",2019,"6","1",0,67382,0,22.1,11.1,6.8,4.6,68.5,141,261.5,-3.18592,51.7536,108728050.004372
